fin_de_semana,hora_date,linea,estacion,total
False,5,LineaA,Congreso,42.21739130434783
False,5,LineaA,Flores,70.52173913043478
False,5,LineaA,Lima,31.695652173913043
False,5,LineaA,Loria,32.26086956521739
False,5,LineaA,Pasco,11.0
False,5,LineaA,Peru,20.956521739130434
False,5,LineaA,Piedras,14.869565217391305
False,5,LineaA,Plaza Miserere,98.82608695652173
False,5,LineaA,Plaza de Mayo,47.82608695652174
False,5,LineaA,Primera Junta,85.21739130434783
False,5,LineaA,Puan,19.08695652173913
False,5,LineaA,Rio de Janeiro,39.04347826086956
False,5,LineaA,Saenz PeÃÂ±a ,17.73913043478261
False,5,LineaA,San Pedrito,190.52173913043478
False,5,LineaB,Angel Gallardo,35.47826086956522
False,5,LineaB,Callao.B,47.391304347826086
False,5,LineaB,Carlos Gardel,31.0
False,5,LineaB,Carlos Pellegrini,63.43478260869565
False,5,LineaB,Dorrego,34.73913043478261
False,5,LineaB,Echeverria,26.52173913043478
False,5,LineaB,Federico Lacroze,372.8695652173913
False,5,LineaB,Florida,11.91304347826087
False,5,LineaB,Leandro N. Alem,168.1304347826087
False,5,LineaB,Los Incas,47.73913043478261
False,5,LineaB,Malabia,52.91304347826087
False,5,LineaB,Medrano,49.91304347826087
False,5,LineaB,Pasteur,22.08695652173913
False,5,LineaB,Pueyrredon,42.391304347826086
False,5,LineaB,Rosas,216.30434782608697
False,5,LineaB,Tronador,12.636363636363637
False,5,LineaB,Uruguay,17.391304347826086
False,5,LineaC,Avenida de Mayo,16.636363636363637
False,5,LineaC,Constitucion,1470.608695652174
False,5,LineaC,Diagonal Norte,7.391304347826087
False,5,LineaC,General San Martin,11.956521739130435
False,5,LineaC,Independencia,35.52173913043478
False,5,LineaC,Lavalle,25.52173913043478
False,5,LineaC,Mariano Moreno,17.608695652173914
False,5,LineaC,Retiro,268.8695652173913
False,5,LineaC,San Juan,27.82608695652174
False,5,LineaD,9 de julio,14.130434782608695
False,5,LineaD,AgÃÂ¼ero,22.869565217391305
False,5,LineaD,Bulnes,26.347826086956523
False,5,LineaD,Callao,21.956521739130434
False,5,LineaD,Catedral,57.130434782608695
False,5,LineaD,Congreso de Tucuman,147.82608695652175
False,5,LineaD,Facultad de Medicina,21.956521739130434
False,5,LineaD,Jose Hernandez,30.47826086956522
False,5,LineaD,Juramento,38.69565217391305
False,5,LineaD,Ministro Carranza,43.73913043478261
False,5,LineaD,Olleros,27.318181818181817
False,5,LineaD,Palermo,111.43478260869566
False,5,LineaD,Plaza Italia,32.69565217391305
False,5,LineaD,Pueyrredon.D,19.91304347826087
False,5,LineaD,Scalabrini Ortiz,30.695652173913043
False,5,LineaD,Tribunales,11.826086956521738
False,5,LineaE,Avenida La Plata,37.21739130434783
False,5,LineaE,Boedo,21.869565217391305
False,5,LineaE,Bolivar,22.347826086956523
False,5,LineaE,Catalinas,7.318181818181818
False,5,LineaE,Correo Central,24.608695652173914
False,5,LineaE,Emilio Mitre,20.0
False,5,LineaE,Entre Rios,22.391304347826086
False,5,LineaE,General Belgrano,11.727272727272727
False,5,LineaE,Independencia.H,34.73913043478261
False,5,LineaE,Jose Maria Moreno,22.869565217391305
False,5,LineaE,Jujuy,16.695652173913043
False,5,LineaE,Medalla Milagrosa,6.318181818181818
False,5,LineaE,Pichincha,18.347826086956523
False,5,LineaE,Pza. de los Virreyes,130.86363636363637
False,5,LineaE,Retiro E,22.434782608695652
False,5,LineaE,San Jose,12.826086956521738
False,5,LineaE,Urquiza,19.952380952380953
False,5,LineaE,Varela,21.095238095238095
False,5,LineaH,Caseros,36.04347826086956
False,5,LineaH,Cordoba,15.08695652173913
False,5,LineaH,Corrientes,18.869565217391305
False,5,LineaH,Facultad de Derecho,9.26086956521739
False,5,LineaH,Hospitales,183.8695652173913
False,5,LineaH,Humberto I,22.391304347826086
False,5,LineaH,Inclan,32.17391304347826
False,5,LineaH,Las Heras,22.043478260869566
False,5,LineaH,Once,119.3913043478261
False,5,LineaH,Patricios,100.08695652173913
False,5,LineaH,Santa Fe,28.26086956521739
False,5,LineaH,Venezuela,42.608695652173914
False,6,LineaA,Acoyte,376.7391304347826
False,6,LineaA,Alberti,63.17391304347826
False,6,LineaA,Carabobo,359.5217391304348
False,6,LineaA,Castro Barros,198.7826086956522
False,6,LineaA,Congreso,156.08695652173913
False,6,LineaA,Flores,507.5217391304348
False,6,LineaA,Lima,122.6086956521739
False,6,LineaA,Loria,182.91304347826087
False,6,LineaA,Pasco,51.34782608695652
False,6,LineaA,Peru,68.1304347826087
False,6,LineaA,Piedras,58.04347826086956
False,6,LineaA,Plaza Miserere,482.2608695652174
False,6,LineaA,Plaza de Mayo,251.17391304347825
False,6,LineaA,Primera Junta,458.04347826086956
False,6,LineaA,Puan,198.7391304347826
False,6,LineaA,Rio de Janeiro,226.43478260869566
False,6,LineaA,Saenz PeÃÂ±a ,101.52173913043478
False,6,LineaA,San Pedrito,1416.5652173913043
False,6,LineaB,Angel Gallardo,322.95652173913044
False,6,LineaB,Callao.B,184.3913043478261
False,6,LineaB,Carlos Gardel,191.47826086956522
False,6,LineaB,Carlos Pellegrini,331.69565217391306
False,6,LineaB,Dorrego,221.1304347826087
False,6,LineaB,Echeverria,261.4347826086956
False,6,LineaB,Federico Lacroze,1518.5652173913043
False,6,LineaB,Florida,51.30434782608695
False,6,LineaB,Leandro N. Alem,579.3913043478261
False,6,LineaB,Los Incas,352.17391304347825
False,6,LineaB,Malabia,398.04347826086956
False,6,LineaB,Medrano,315.6521739130435
False,6,LineaB,Pasteur,114.26086956521739
False,6,LineaB,Pueyrredon,204.2173913043478
False,6,LineaB,Rosas,1540.0434782608695
False,6,LineaB,Tronador,141.0
False,6,LineaB,Uruguay,84.95652173913044
False,6,LineaC,Avenida de Mayo,87.43478260869566
False,6,LineaC,Constitucion,7627.217391304348
False,6,LineaC,Diagonal Norte,39.21739130434783
False,6,LineaC,General San Martin,55.608695652173914
False,6,LineaC,Independencia,157.91304347826087
False,6,LineaC,Lavalle,85.73913043478261
False,6,LineaC,Mariano Moreno,67.78260869565217
False,6,LineaC,Retiro,1272.391304347826
False,6,LineaC,San Juan,143.0
False,6,LineaD,9 de julio,115.26086956521739
False,6,LineaD,AgÃÂ¼ero,205.04347826086956
False,6,LineaD,Bulnes,247.69565217391303
False,6,LineaD,Callao,138.47826086956522
False,6,LineaD,Catedral,240.08695652173913
False,6,LineaD,Congreso de Tucuman,1314.608695652174
False,6,LineaD,Facultad de Medicina,159.47826086956522
False,6,LineaD,Jose Hernandez,301.7391304347826
False,6,LineaD,Juramento,376.30434782608694
False,6,LineaD,Ministro Carranza,326.2608695652174
False,6,LineaD,Olleros,249.08695652173913
False,6,LineaD,Palermo,590.0
False,6,LineaD,Plaza Italia,198.47826086956522
False,6,LineaD,Pueyrredon.D,115.1304347826087
False,6,LineaD,Scalabrini Ortiz,243.30434782608697
False,6,LineaD,Tribunales,71.8695652173913
False,6,LineaE,Avenida La Plata,149.82608695652175
False,6,LineaE,Boedo,123.43478260869566
False,6,LineaE,Bolivar,101.95652173913044
False,6,LineaE,Catalinas,17.73913043478261
False,6,LineaE,Correo Central,67.17391304347827
False,6,LineaE,Emilio Mitre,172.43478260869566
False,6,LineaE,Entre Rios,130.56521739130434
False,6,LineaE,General Belgrano,34.0
False,6,LineaE,Independencia.H,106.47826086956522
False,6,LineaE,Jose Maria Moreno,143.47826086956522
False,6,LineaE,Jujuy,102.21739130434783
False,6,LineaE,Medalla Milagrosa,79.30434782608695
False,6,LineaE,Pichincha,77.08695652173913
False,6,LineaE,Pza. de los Virreyes,669.3913043478261
False,6,LineaE,Retiro E,96.43478260869566
False,6,LineaE,San Jose,90.1304347826087
False,6,LineaE,Urquiza,107.43478260869566
False,6,LineaE,Varela,131.34782608695653
False,6,LineaH,Caseros,179.43478260869566
False,6,LineaH,Cordoba,107.47826086956522
False,6,LineaH,Corrientes,88.91304347826087
False,6,LineaH,Facultad de Derecho,28.652173913043477
False,6,LineaH,Hospitales,1153.8260869565217
False,6,LineaH,Humberto I,155.95652173913044
False,6,LineaH,Inclan,195.47826086956522
False,6,LineaH,Las Heras,145.30434782608697
False,6,LineaH,Once,657.2608695652174
False,6,LineaH,Patricios,530.304347826087
False,6,LineaH,Santa Fe,117.3913043478261
False,6,LineaH,Venezuela,260.39130434782606
False,7,LineaA,Acoyte,1288.9130434782608
False,7,LineaA,Alberti,222.0
False,7,LineaA,Carabobo,1502.4347826086957
False,7,LineaA,Castro Barros,711.9565217391304
False,7,LineaA,Congreso,426.0
False,7,LineaA,Flores,1698.8695652173913
False,7,LineaA,Lima,259.0
False,7,LineaA,Loria,538.695652173913
False,7,LineaA,Pasco,157.47826086956522
False,7,LineaA,Peru,127.82608695652173
False,7,LineaA,Piedras,121.26086956521739
False,7,LineaA,Plaza Miserere,1143.2608695652175
False,7,LineaA,Plaza de Mayo,522.8260869565217
False,7,LineaA,Primera Junta,1640.8260869565217
False,7,LineaA,Puan,899.3478260869565
False,7,LineaA,Rio de Janeiro,908.304347826087
False,7,LineaA,Saenz PeÃÂ±a ,281.0869565217391
False,7,LineaA,San Pedrito,4156.260869565217
False,7,LineaB,Angel Gallardo,1326.1739130434783
False,7,LineaB,Callao.B,496.7391304347826
False,7,LineaB,Carlos Gardel,553.1304347826087
False,7,LineaB,Carlos Pellegrini,838.5652173913044
False,7,LineaB,Dorrego,743.7391304347826
False,7,LineaB,Echeverria,996.4782608695652
False,7,LineaB,Federico Lacroze,3505.5652173913045
False,7,LineaB,Florida,141.91304347826087
False,7,LineaB,Leandro N. Alem,1170.304347826087
False,7,LineaB,Los Incas,1225.8695652173913
False,7,LineaB,Malabia,1587.7826086956522
False,7,LineaB,Medrano,1116.2173913043478
False,7,LineaB,Pasteur,352.5217391304348
False,7,LineaB,Pueyrredon,580.7391304347826
False,7,LineaB,Rosas,4519.304347826087
False,7,LineaB,Tronador,491.7826086956522
False,7,LineaB,Uruguay,273.60869565217394
False,7,LineaC,Avenida de Mayo,186.43478260869566
False,7,LineaC,Constitucion,11283.173913043478
False,7,LineaC,Diagonal Norte,107.52173913043478
False,7,LineaC,General San Martin,181.7826086956522
False,7,LineaC,Independencia,379.17391304347825
False,7,LineaC,Lavalle,140.95652173913044
False,7,LineaC,Mariano Moreno,141.17391304347825
False,7,LineaC,Retiro,2596.695652173913
False,7,LineaC,San Juan,337.4347826086956
False,7,LineaD,9 de julio,316.7826086956522
False,7,LineaD,AgÃÂ¼ero,957.6521739130435
False,7,LineaD,Bulnes,1110.5217391304348
False,7,LineaD,Callao,481.39130434782606
False,7,LineaD,Catedral,613.0869565217391
False,7,LineaD,Congreso de Tucuman,4131.304347826087
False,7,LineaD,Facultad de Medicina,479.8695652173913
False,7,LineaD,Jose Hernandez,1119.0434782608695
False,7,LineaD,Juramento,1233.3478260869565
False,7,LineaD,Ministro Carranza,1091.7391304347825
False,7,LineaD,Olleros,1051.2608695652175
False,7,LineaD,Palermo,1465.4347826086957
False,7,LineaD,Plaza Italia,750.695652173913
False,7,LineaD,Pueyrredon.D,614.6521739130435
False,7,LineaD,Scalabrini Ortiz,1119.304347826087
False,7,LineaD,Tribunales,276.04347826086956
False,7,LineaE,Avenida La Plata,583.0434782608696
False,7,LineaE,Boedo,337.3478260869565
False,7,LineaE,Bolivar,244.69565217391303
False,7,LineaE,Catalinas,37.17391304347826
False,7,LineaE,Correo Central,110.65217391304348
False,7,LineaE,Emilio Mitre,531.695652173913
False,7,LineaE,Entre Rios,355.17391304347825
False,7,LineaE,General Belgrano,84.52173913043478
False,7,LineaE,Independencia.H,264.95652173913044
False,7,LineaE,Jose Maria Moreno,502.2173913043478
False,7,LineaE,Jujuy,268.30434782608694
False,7,LineaE,Medalla Milagrosa,268.82608695652175
False,7,LineaE,Pichincha,245.69565217391303
False,7,LineaE,Pza. de los Virreyes,1507.1739130434783
False,7,LineaE,Retiro E,240.6086956521739
False,7,LineaE,San Jose,245.08695652173913
False,7,LineaE,Urquiza,298.6521739130435
False,7,LineaE,Varela,350.82608695652175
False,7,LineaH,Caseros,528.7826086956521
False,7,LineaH,Cordoba,325.8695652173913
False,7,LineaH,Corrientes,258.95652173913044
False,7,LineaH,Facultad de Derecho,87.95652173913044
False,7,LineaH,Hospitales,2577.391304347826
False,7,LineaH,Humberto I,601.3913043478261
False,7,LineaH,Inclan,669.2608695652174
False,7,LineaH,Las Heras,494.39130434782606
False,7,LineaH,Once,1423.1304347826087
False,7,LineaH,Patricios,1197.8260869565217
False,7,LineaH,Santa Fe,431.0
False,7,LineaH,Venezuela,718.8260869565217
False,8,LineaA,Acoyte,1629.8260869565217
False,8,LineaA,Alberti,232.91304347826087
False,8,LineaA,Carabobo,2130.4347826086955
False,8,LineaA,Castro Barros,855.1739130434783
False,8,LineaA,Congreso,604.1739130434783
False,8,LineaA,Flores,2508.782608695652
False,8,LineaA,Lima,331.60869565217394
False,8,LineaA,Loria,685.4347826086956
False,8,LineaA,Pasco,264.7391304347826
False,8,LineaA,Peru,152.69565217391303
False,8,LineaA,Piedras,159.47826086956522
False,8,LineaA,Plaza Miserere,1612.695652173913
False,8,LineaA,Plaza de Mayo,571.5217391304348
False,8,LineaA,Primera Junta,2274.1739130434785
False,8,LineaA,Puan,1225.9565217391305
False,8,LineaA,Rio de Janeiro,1250.9565217391305
False,8,LineaA,Saenz PeÃÂ±a ,370.6521739130435
False,8,LineaA,San Pedrito,5199.391304347826
False,8,LineaB,Angel Gallardo,1663.9130434782608
False,8,LineaB,Callao.B,729.5217391304348
False,8,LineaB,Carlos Gardel,711.9130434782609
False,8,LineaB,Carlos Pellegrini,836.1304347826087
False,8,LineaB,Dorrego,1008.4782608695652
False,8,LineaB,Echeverria,1395.5217391304348
False,8,LineaB,Federico Lacroze,4840.782608695652
False,8,LineaB,Florida,240.2608695652174
False,8,LineaB,Leandro N. Alem,1210.8695652173913
False,8,LineaB,Los Incas,1627.3478260869565
False,8,LineaB,Malabia,2209.6521739130435
False,8,LineaB,Medrano,1426.1304347826087
False,8,LineaB,Pasteur,555.1739130434783
False,8,LineaB,Pueyrredon,838.4347826086956
False,8,LineaB,Rosas,5806.347826086957
False,8,LineaB,Tronador,713.7391304347826
False,8,LineaB,Uruguay,452.2173913043478
False,8,LineaC,Avenida de Mayo,230.04347826086956
False,8,LineaC,Constitucion,13760.91304347826
False,8,LineaC,Diagonal Norte,132.17391304347825
False,8,LineaC,General San Martin,231.30434782608697
False,8,LineaC,Independencia,482.2173913043478
False,8,LineaC,Lavalle,186.7826086956522
False,8,LineaC,Mariano Moreno,199.8695652173913
False,8,LineaC,Retiro,4240.521739130435
